PISA 2018 Results (Volume I) - © OECD 2019,,,,,,,,,,,,,,,,,,
Annex B1,Annex B1 Results for countries and economies,,,,,,,,,,,,,,,,,
Version 3+1 - Last updated: 24-Jul-2020,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Annex B1,Annex B1 Results for countries and economies,,,,,,,,,,,,,,,,,
Version 3 - Last updated: 02-Dec-2019,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Table I.B1.4,,,,,,,,,,,,,,,,,,
Mean score and variation in reading performance,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Mean score,,Standard deviation,,Percentiles,,,,,,,,,,,,,
,,,,,5th,,10th,,25th,,Median (50th),,75th,,90th,,95th,
,Mean,S.E.,S.D.,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.,Score,S.E.
OECD,,,,,,,,,,,,,,,,,,
Australia,503,-1.6,109,-0.9,315,-2.7,357,-2.8,429,-2.2,507,-1.9,580,-2,640,-2.2,673,-2.6
Austria,484,-2.7,99,-1.2,318,-3.9,350,-3.7,413,-4.1,488,-3.8,558,-2.9,612,-2.9,641,-2.9
Belgium,493,-2.3,103,-1.3,317,-4,352,-3.8,421,-3.2,498,-2.7,568,-2.6,623,-2.6,653,-2.8
Canada,520,-1.8,100,-0.8,349,-2.8,388,-2.4,452,-2.3,524,-2.2,592,-2,646,-2.3,677,-2.8
Chile,452,-2.6,92,-1.2,298,-3.7,331,-3.6,389,-3.1,453,-3.2,517,-3.4,572,-3.3,602,-3.5
Colombia,412,-3.3,89,-1.5,272,-4.1,300,-3.7,350,-3.5,408,-3.8,472,-4.1,532,-4.7,566,-4.9
Czech Republic,490,-2.5,97,-1.6,328,-5.2,362,-4.3,422,-3.7,492,-3,560,-2.9,616,-2.8,647,-3.1
Denmark,501,-1.8,92,-1.2,344,-4,380,-3,439,-2.7,504,-2.2,566,-2.1,618,-2.6,647,-3.3
Estonia,523,-1.8,93,-1.2,367,-3.8,402,-3.5,460,-2.6,524,-2.3,587,-2.3,643,-3.1,676,-3.7
Finland,520,-2.3,100,-1.3,345,-4.7,387,-4.2,455,-3.2,527,-2.8,591,-2.5,643,-3,672,-3.3
France,493,-2.3,101,-1.5,319,-4.3,355,-3.5,423,-3,497,-3,567,-3.3,622,-3.6,651,-4
Germany,498,-3,106,-1.5,316,-5,354,-4.5,424,-4.4,504,-4.1,576,-3.5,632,-3.5,663,-3.6
Greece,457,-3.6,97,-1.6,292,-4.8,326,-4.9,390,-4.9,460,-4.1,526,-3.7,583,-3.9,614,-5
Hungary,476,-2.3,98,-1.3,311,-3.7,346,-4,407,-3,479,-3.1,547,-2.9,602,-3.7,631,-4.1
Iceland,474,-1.7,105,-1.3,293,-4.4,332,-4,402,-3.3,477,-2.7,549,-3,609,-3.3,640,-3.8
Ireland,518,-2.2,91,-1,364,-4.1,398,-3.5,456,-2.8,520,-2.4,583,-2.6,635,-2.8,663,-3.8
Israel,470,-3.7,124,-1.9,256,-5.4,296,-5.9,381,-5.8,479,-4.9,563,-3.8,628,-3.7,663,-3.9
Italy,476,-2.4,97,-1.7,306,-5.5,345,-4.6,413,-3.2,481,-2.9,545,-3,598,-3.4,628,-3.5
Japan,504,-2.7,97,-1.7,337,-5.1,374,-4.5,438,-3.7,508,-3,572,-3.1,627,-3.7,657,-4.1
Korea,514,-2.9,102,-1.7,329,-5.8,377,-4.9,449,-3.8,522,-3.1,585,-3.1,640,-3.9,669,-4.1
Latvia,479,-1.6,90,-1.1,328,-3.6,360,-3.2,415,-2.3,480,-2.2,542,-2.3,595,-2.7,624,-3
Lithuania,476,-1.5,94,-1,316,-3.5,351,-2.7,410,-2.6,479,-2.3,543,-1.9,597,-1.8,625,-3.2
Luxembourg,470,-1.1,108,-1,291,-3.1,325,-2.1,392,-2,472,-1.8,548,-1.9,612,-2.8,646,-3.9
Mexico,420,-2.7,84,-1.6,286,-3.9,314,-3.5,362,-2.8,419,-2.9,476,-3.5,530,-4.2,562,-5.8
Netherlands*,485,-2.7,105,-1.7,309,-5.2,344,-4.4,410,-3.5,486,-3.7,562,-3.4,621,-3.3,651,-3.4
New Zealand,506,-2,106,-1.3,322,-4.8,362,-3.7,432,-3.2,511,-2.9,584,-2.1,640,-2.9,671,-2.9
Norway,499,-2.2,106,-1.3,310,-4.3,356,-4.3,430,-3.2,506,-2.7,576,-3.1,632,-2.9,661,-3
Poland,512,-2.7,97,-1.4,347,-4.5,384,-3.6,446,-2.9,515,-3.3,581,-3.4,636,-4,667,-4.1
Portugal*,492,-2.4,96,-1.2,327,-4.7,362,-4,425,-3.4,497,-2.9,562,-2.9,613,-2.7,640,-4.4
Slovak Republic,458,-2.2,100,-1.4,291,-4.3,326,-4,388,-3.1,458,-2.9,529,-3.1,590,-3.3,623,-3.5
Slovenia,495,-1.2,94,-1.2,335,-3.9,372,-3,431,-2.2,499,-1.9,561,-2.1,614,-2.8,644,-3.4
Spain,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Sweden,506,-3,108,-1.5,317,-5.5,360,-5.7,434,-4.1,512,-3.4,583,-3.2,640,-3.5,672,-3.7
Switzerland,484,-3.1,103,-1.5,308,-5.1,345,-4.6,413,-4,488,-3.6,558,-3.8,615,-4,647,-4.4
Turkey,466,-2.2,88,-1.6,321,-4.6,351,-4.1,404,-3,466,-2.6,527,-2.4,581,-3.1,610,-4.6
United Kingdom,504,-2.6,100,-1.3,334,-4.4,372,-4.3,435,-3.2,506,-2.7,575,-3.1,632,-3.5,664,-3.8
United States*,505,-3.6,108,-1.6,321,-5.7,361,-5.3,430,-4.4,510,-4.1,584,-4.3,643,-3.9,676,-4.6
OECD average,487,-0.4,99,-0.2,318,-0.7,354,-0.7,419,-0.6,490,-0.5,558,-0.5,614,-0.5,645,-0.6
OECD total,485,-1.2,105,-0.6,311,-1.6,347,-1.6,411,-1.4,486,-1.4,560,-1.4,621,-1.6,654,-1.8
Partners,,,,,,,,,,,,,,,,,,
Albania,405,-1.9,80,-1.2,277,-2.9,303,-2.9,349,-2.2,403,-2.1,459,-2.8,510,-3.3,542,-4.1
Argentina,402,-3,98,-1.5,240,-4.5,274,-4.2,333,-3.4,402,-3.6,471,-3.6,529,-3.4,561,-3.9
Baku (Azerbaijan),389,-2.5,74,-1.7,270,-2.6,294,-2.5,338,-2.4,389,-2.4,438,-3,485,-4.6,514,-6.3
Belarus,474,-2.4,89,-1.3,322,-4.5,355,-3.4,412,-3.1,475,-3,538,-3,589,-3.1,617,-4
Bosnia and Herzegovina,403,-2.9,79,-1.2,278,-3.1,303,-2.8,346,-3,400,-3.5,458,-3.7,509,-4.1,537,-4
Brazil,413,-2.1,100,-1.3,258,-2.6,286,-2.6,340,-2.3,408,-2.4,482,-3.1,548,-3.7,584,-4.1
Brunei Darussalam,408,-0.9,97,-0.8,258,-1.9,284,-1.9,335,-1.4,403,-1.5,476,-1.7,542,-2.5,578,-2.5
B-S-J-Z (China),555,-2.7,87,-1.7,406,-5.9,441,-4.2,498,-3.5,559,-2.9,617,-3.1,666,-3.5,692,-4.8
Bulgaria,420,-3.9,101,-1.8,263,-4.3,290,-4.5,344,-4.9,416,-4.8,491,-5,557,-5.2,594,-5.3
Costa Rica,426,-3.4,81,-1.7,295,-3.8,323,-3.1,370,-2.9,424,-3.5,483,-4.5,534,-5.9,563,-6.4
Croatia,479,-2.7,89,-1.7,329,-5.2,362,-4.6,418,-3.7,480,-3.2,542,-2.9,594,-3.2,623,-3.9
Cyprus,424,-1.4,98,-0.9,265,-2.7,295,-2.9,353,-2.3,424,-1.9,494,-2,554,-2.6,587,-3
Dominican Republic,342,-2.9,82,-1.8,221,-2.8,241,-2.5,281,-2.7,334,-3.2,395,-4,453,-5.5,488,-6.1
Georgia,380,-2.2,84,-1.2,249,-3.1,274,-2.5,319,-2.6,374,-2.7,436,-2.8,493,-3.6,526,-3.8
Hong Kong (China)*,524,-2.7,99,-1.5,342,-6.7,390,-5.5,463,-3.7,533,-2.9,595,-2.6,645,-2.5,673,-3.3
Indonesia,371,-2.6,75,-1.7,254,-3.6,277,-3.1,318,-2.8,367,-2.8,420,-3.6,472,-5.1,502,-5.7
Jordan,419,-2.9,87,-1.7,261,-6.9,303,-5.7,366,-3.9,426,-3,480,-2.6,524,-3.1,550,-3.6
Kazakhstan,387,-1.5,77,-1.2,271,-2.5,294,-2.2,333,-1.7,380,-1.5,433,-1.9,490,-2.9,527,-4.1
Kosovo,353,-1.1,68,-0.7,245,-2.2,265,-2.1,304,-1.9,352,-1.7,398,-1.7,442,-2,470,-3.1
Lebanon,353,-4.3,113,-1.6,180,-4.9,211,-4.6,268,-4.6,347,-5.7,434,-5.2,507,-5,546,-5.7
Macao (China),525,-1.2,92,-1.1,365,-5,403,-3.2,464,-2.3,530,-1.7,590,-2.1,641,-3,670,-2.8
Malaysia,415,-2.9,85,-1.6,273,-3.5,302,-3.4,357,-3.1,417,-3.2,474,-3.4,524,-4.2,552,-5
Malta,448,-1.7,113,-1.2,258,-4.2,295,-3.2,369,-3,452,-2.6,529,-3,593,-3.3,628,-4.3
Moldova,424,-2.4,93,-1.6,268,-4.4,301,-3.3,358,-2.9,425,-3.1,491,-3.4,544,-3.7,573,-4.9
Montenegro,421,-1.1,86,-0.8,281,-2.6,310,-2.1,360,-1.6,420,-1.7,480,-1.6,534,-2,566,-2.7
Morocco,359,-3.1,75,-1.1,244,-2.6,265,-2.6,304,-3,355,-3.9,412,-4,460,-3.6,488,-3.9
North Macedonia,393,-1.1,94,-1,233,-3.4,268,-2.7,328,-2.2,395,-1.9,460,-1.8,513,-2.4,543,-2.7
Panama,377,-3,88,-1.9,237,-4,265,-3.7,315,-3,374,-3,436,-4.2,493,-5.6,528,-6.7
Peru,401,-3,92,-1.5,256,-3.5,283,-2.9,334,-3.3,397,-3.3,463,-3.8,523,-4.9,558,-6.3
Philippines,340,-3.3,80,-2.3,230,-2.6,248,-2.3,281,-2.3,327,-3.1,388,-4.7,453,-7.2,491,-8.3
Qatar,407,-0.8,110,-0.6,233,-1.9,264,-1.8,326,-1.5,405,-1.3,483,-1.2,552,-1.8,592,-2.1
Romania,428,-5.1,98,-2.2,261,-6.5,297,-6,361,-6.1,431,-6,497,-6,554,-5.9,584,-5.5
Russia,479,-3.1,93,-1.8,321,-5.4,357,-4.8,416,-3.7,480,-3.4,543,-3.3,597,-3.6,629,-4.4
Saudi Arabia,399,-3,84,-1.6,256,-4.8,286,-4.4,341,-4,402,-3.4,459,-3.1,507,-3,534,-3.5
Serbia,439,-3.3,96,-1.4,282,-4,312,-3.9,370,-4.4,440,-4.1,508,-3.5,566,-3.5,599,-3.8
Singapore,549,-1.6,109,-1,352,-3.8,398,-3.9,478,-2.3,559,-2.1,628,-2,684,-2.5,714,-2.6
Chinese Taipei,503,-2.8,102,-1.5,325,-4.2,367,-3.8,435,-3.4,508,-3.1,576,-3.7,630,-3.8,661,-4.5
Thailand,393,-3.2,79,-1.6,271,-3.4,295,-3.2,337,-3.2,388,-3.5,445,-4.4,501,-5.1,533,-5.8
Ukraine,466,-3.5,93,-1.7,302,-6.2,340,-5.2,404,-4.8,472,-3.5,532,-3.5,582,-3.8,612,-4.8
United Arab Emirates,432,-2.3,113,-0.9,251,-2.4,284,-2.7,348,-2.5,429,-2.6,511,-3.5,584,-3.1,624,-3
Uruguay,427,-2.8,96,-1.6,267,-3.5,299,-3.6,360,-3.6,427,-3.2,495,-3.6,552,-4.5,585,-4.1
,,,,,,,,,,,,,,,,,,
Viet Nam***,505,-3.6,74,-1.7,381,-4.9,409,-4.6,456,-3.9,505,-3.7,554,-4.1,599,-4.7,625,-5.5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Information on data for Cyprus: https://oe.cd/cyprus-disclaimer,,,,,,,,,,,,,,,,,,
"*Hong Kong (China), Netherlands, Portugal and United States: Data did not meet the PISA technical standards but were accepted as largely comparable (see Annexes A2 and A4).",,,,,,,,,,,,,,,,,,
"***The data for Viet Nam have not yet been fully validated. Due to a lack of consistency in the response pattern of some performance data, the OECD cannot yet assure full international comparability of the results (see Annexes A4 and A6).",,,,,,,,,,,,,,,,,,
